epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
84,740.792,2.0849,0.28752,0.85437,1.39931,0.04661,10.4891,0.39025,0.50239,0.34608,0.07686,0.55607,0.75269,0.70054,0.45132,3.80493,1.59732,0.88395,2.2802,0.14393,0,0.0083566,0.0083566,0.0083566
85,749.21,2.25612,0.31655,0.86876,1.47939,0.05025,11.2795,0.38527,0.5914,0.4163,0.13114,0.49166,0.77419,0.59586,0.32357,3.506,2.55584,2.38067,1.87583,0.12631,0,0.0083368,0.0083368,0.0083368
86,757.744,2.16027,0.26236,0.86118,1.44383,0.0478,10.4792,0.58077,0.5914,0.6179,0.20015,0.64382,0.73861,0.73745,0.60487,3.48809,1.14356,1.05055,1.9747,0.11809,0,0.008317,0.008317,0.008317
87,766.136,2.16344,0.27241,0.86223,1.40295,0.04857,10.4327,0.66238,0.65591,0.71773,0.2534,0.67131,0.75269,0.83471,0.73299,3.26133,1.22322,0.53689,1.38928,0.10679,0,0.0082972,0.0082972,0.0082972
88,774.59,2.27017,0.29132,0.87403,1.32819,0.05002,10.7673,0.70965,0.70958,0.69732,0.26335,0.79106,0.7957,0.83347,0.72066,3.00798,1.42424,0.79695,1.32223,0.09511,0,0.0082774,0.0082774,0.0082774
89,783.048,2.17985,0.25492,0.83524,1.47834,0.04842,10.7443,0.51649,0.55914,0.47703,0.16569,0.61269,0.68042,0.75192,0.4579,3.27665,2.25597,1.54691,2.00757,0.10953,0,0.0082576,0.0082576,0.0082576
90,791.391,2.186,0.24089,0.89751,1.42087,0.04821,10.0777,0.49677,0.54839,0.52992,0.13284,0.53674,0.66667,0.67601,0.37802,3.47185,2.30449,1.18397,2.47021,0.11808,0,0.0082378,0.0082378,0.0082378
91,799.814,2.15053,0.25755,0.88545,1.38784,0.0472,10.0986,0.55059,0.68817,0.58908,0.18878,0.62685,0.83871,0.73373,0.65605,3.46417,1.57424,0.78864,1.27134,0.11473,0,0.008218,0.008218,0.008218
92,808.191,2.16673,0.22786,0.83738,1.36366,0.04738,9.98132,0.57326,0.63556,0.54573,0.1774,0.66808,0.82796,0.72979,0.56292,3.62194,2.35191,1.47106,1.62623,0.13029,0,0.0081982,0.0081982,0.0081982
93,816.599,2.09498,0.27279,0.84401,1.44668,0.04722,10.5479,0.51987,0.55914,0.5314,0.21311,0.6012,0.76188,0.72291,0.58428,3.07276,1.90958,0.98513,1.34511,0.1012,0,0.0081784,0.0081784,0.0081784
94,824.972,2.15171,0.29716,0.84736,1.50645,0.04708,10.4703,0.32767,0.3871,0.27523,0.05183,0.60983,0.72043,0.63742,0.3529,4.38854,2.8458,1.86899,1.70882,0.17984,0,0.0081586,0.0081586,0.0081586
95,833.366,2.109,0.24339,0.87534,1.49589,0.04627,10.4652,0.52154,0.55914,0.54774,0.18601,0.64934,0.63441,0.67725,0.45006,3.16838,1.64922,0.87149,1.96974,0.10316,0,0.0081388,0.0081388,0.0081388
96,841.295,2.09994,0.26357,0.84733,1.44843,0.04665,10.2688,0.46944,0.6129,0.46005,0.136,0.62667,0.78495,0.70705,0.38577,3.39273,2.07404,1.39513,1.74881,0.12037,0,0.008119,0.008119,0.008119
97,848.963,2.12838,0.25636,0.84622,1.4044,0.04706,10.1425,0.58887,0.72043,0.65835,0.25723,0.66918,0.8172,0.80857,0.64863,3.15353,0.94097,0.83546,1.48683,0.10746,0,0.0080992,0.0080992,0.0080992
98,856.614,2.11426,0.24471,0.84642,1.29323,0.04609,9.71155,0.4864,0.47312,0.43195,0.12245,0.64768,0.79072,0.73979,0.39863,3.75321,2.16578,0.94643,1.58743,0.14254,0,0.0080794,0.0080794,0.0080794
99,864.193,2.09087,0.22119,0.87065,1.28271,0.04653,9.73577,0.5016,0.66667,0.53202,0.19409,0.56533,0.75269,0.704,0.54651,3.33442,1.31441,0.67471,1.64265,0.11169,0,0.0080596,0.0080596,0.0080596
100,872.869,2.17107,0.23448,0.77372,1.32641,0.04807,10.1458,0.65562,0.73696,0.70312,0.26232,0.64485,0.80645,0.77535,0.69013,3.1416,0.90834,0.67394,1.52237,0.10284,0,0.0080398,0.0080398,0.0080398
101,881.23,2.19773,0.26156,0.81718,1.40326,0.04932,10.2364,0.71734,0.66667,0.70368,0.31079,0.75951,0.78495,0.79714,0.77582,2.6673,1.22908,0.87995,1.28989,0.08485,0,0.00802,0.00802,0.00802
102,890.176,2.17315,0.19718,0.79377,1.36348,0.04724,9.78373,0.64948,0.67741,0.66752,0.24677,0.70724,0.80528,0.77667,0.65983,3.13814,1.08701,1.08954,1.25505,0.10712,0,0.0080002,0.0080002,0.0080002
