epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,3018.07,0.70528,0.42513,1.11259,0.8289,0.83767,0.84353,0.48926,1.53615,0.84193,2.06028,0.0083467,0.0083467,0.0083467
169,3035.93,0.70351,0.4224,1.11199,0.86099,0.81696,0.85877,0.50821,1.52162,0.80714,2.02768,0.0083368,0.0083368,0.0083368
170,3053.78,0.68898,0.42208,1.09675,0.88582,0.81637,0.87823,0.52632,1.47973,0.81027,1.94214,0.0083269,0.0083269,0.0083269
171,3071.65,0.69183,0.41312,1.10454,0.8141,0.80875,0.84135,0.50958,1.50165,0.87902,1.99941,0.008317,0.008317,0.008317
172,3089.54,0.69394,0.42333,1.1038,0.88025,0.81473,0.86903,0.53541,1.48327,0.77206,2.00561,0.0083071,0.0083071,0.0083071
173,3107.43,0.68738,0.41181,1.09355,0.84118,0.80088,0.83692,0.5055,1.52758,0.83966,2.01016,0.0082972,0.0082972,0.0082972
174,3125.32,0.69356,0.41328,1.09746,0.872,0.80306,0.84333,0.50764,1.50575,0.84132,2.00564,0.0082873,0.0082873,0.0082873
175,3143.46,0.69004,0.41383,1.10454,0.85493,0.81117,0.84146,0.50295,1.5106,0.85058,2.00291,0.0082774,0.0082774,0.0082774
176,3161.34,0.68157,0.40997,1.09093,0.87058,0.81955,0.85104,0.51328,1.49671,0.83622,1.96993,0.0082675,0.0082675,0.0082675
177,3179.21,0.69933,0.41731,1.10176,0.83757,0.81265,0.84066,0.50023,1.5257,0.85342,2.01288,0.0082576,0.0082576,0.0082576
178,3197.09,0.67468,0.40579,1.09222,0.8368,0.83081,0.85053,0.51077,1.49389,0.84896,1.97645,0.0082477,0.0082477,0.0082477
